ticker,date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
AAPL,2023-03-13 10:59:00,2023-03-13 09:30:00,2023-03-13 10:59:00,90,16.543840426485716,84798.47669953319,0.2373677563923889,168.89551316636877,0.16724560302904223,0.1826249680495586,1092.0,0.005556871661929641,0.0,0.005572339711312324
AAPL,2023-03-13 11:59:00,2023-03-13 09:30:00,2023-03-13 11:59:00,150,14.431004352988088,83475.71636357189,0.18789670999499766,165.56969185521262,0.146303509460954,0.0951576437349709,655.2,0.005556871661929641,0.0,0.005572339711312324
AAPL,2023-03-13 12:59:00,2023-03-13 09:30:00,2023-03-13 12:59:00,210,7.785621341822165,84375.57507274642,0.16597458260080017,162.51885567412947,0.09109898627760356,0.0984680765295992,467.99999999999994,0.005556871661929641,0.0,0.005572339711312324
AAPL,2023-03-13 13:59:00,2023-03-13 09:30:00,2023-03-13 13:59:00,270,6.300235712734702,83828.23098544538,0.15085826597764734,157.68532992723738,0.09524901173962463,0.06606801470865672,364.0,0.005556871661929641,0.0,0.005572339711312324
AAPL,2023-03-13 14:59:00,2023-03-13 09:30:00,2023-03-13 14:59:00,330,5.563941066162296,80287.23851179096,0.13372418719908152,146.3890962972916,0.09397534836662552,0.02540161309575714,297.8181818181818,0.005556871661929641,0.0,0.005572339711312324
AAPL,2023-03-13 15:59:00,2023-03-13 09:30:00,2023-03-13 15:59:00,390,1.0379968026767277,77952.732393518,0.12272581301335468,138.18602245885953,0.0371099033703296,0.07350335927816741,504.0,0.00457454370949284,0.0013892215130343168,0.004585992300733199
AAPL,2023-03-14 09:59:00,2023-03-13 10:00:00,2023-03-14 09:59:00,390,0.034395600305970254,93414.66561890469,0.10593607980586954,138.45604150858077,0.03704927226307887,0.07444198492676467,504.0,0.005866956114280786,0.0032169686640646563,0.005889405313271867
AAPL,2023-03-14 10:59:00,2023-03-13 11:00:00,2023-03-14 10:59:00,390,-0.24830764539213399,94449.36200998197,0.08137880176501625,123.86130341799897,-0.010087851026575325,0.026025251422940553,252.0,0.008141696471505533,0.0,0.00817493021401039
AAPL,2023-03-14 11:59:00,2023-03-13 12:00:00,2023-03-14 11:59:00,390,-1.9411224936727614,87418.42213433102,0.06711598653114803,108.21686709963963,-0.049629119950161234,0.026209276200137032,252.0,0.008141696471505533,0.0,0.00817493021401039
AAPL,2023-03-14 12:59:00,2023-03-13 13:00:00,2023-03-14 12:59:00,390,-0.7952342978016618,81724.61523770633,0.053910152039906845,93.77610853291294,-0.009145324527960534,0.04140284286168092,252.0,0.008141696471505533,0.0,0.00817493021401039
AAPL,2023-03-14 13:59:00,2023-03-13 14:00:00,2023-03-14 13:59:00,390,-1.1833892705129136,77991.02405679946,0.04888205617866422,87.2323415769506,-0.059347235530264865,0.10735602688850966,1008.0,-0.000358578939504417,0.005693372681228502,-0.00034231309076071526
AAPL,2023-03-14 14:59:00,2023-03-13 15:00:00,2023-03-14 14:59:00,390,-1.4901116324167016,80223.66872648893,0.04662842099978834,86.40862612297717,-0.09099147613669525,0.041069078498565136,1008.0,-0.000358578939504417,0.005693372681228502,-0.00034231309076071526
AAPL,2023-03-14 15:59:00,2023-03-14 09:30:00,2023-03-14 15:59:00,390,3.8775938076312824,69526.47726368667,0.04471837406961524,78.77684818644519,0.05457049856647468,0.08916981597478912,1008.0,-0.000358578939504417,0.005693372681228502,-0.00034231309076071526
AAPL,2023-03-15 09:59:00,2023-03-14 10:00:00,2023-03-15 09:59:00,390,1.0112138130667951,72735.19652321449,0.04342160455859726,79.39729896312559,-0.010511570720921657,0.05703370302280704,1260.0,-0.002543581943563389,0.0033228149306107745,-0.002534843239412332
