Date,SPY,AAPL,MSFT,AMZN
2005-11-04,122.16,1.848913,18.77684,2.0545
2005-11-07,122.43,1.821096,19.023361,2.0695
2005-11-08,122.07,1.811119,19.051521,2.0975
2005-11-09,122.28,1.817468,18.98814,2.07
2005-11-10,123.33,1.849819,19.0797,2.109
2005-11-11,123.71,1.860704,19.213514,2.134
2005-11-14,123.62,1.857984,19.276903,2.1265
2005-11-15,123.16,1.883079,19.425245,2.2225
2005-11-16,123.4,1.963809,19.594769,2.265
2005-11-17,124.56,1.950808,19.757235,2.337
2005-11-18,125.12,1.952015,19.827875,2.399
2005-11-21,125.78,1.964111,19.891449,2.3995
2005-11-22,126.42,2.011278,19.714857,2.4425
2005-11-23,126.87,2.029117,19.721924,2.412
2005-11-25,127.13,2.096544,19.608898,2.403
2005-11-28,126.07,2.106219,19.601843,2.4175
2005-11-29,126.1,2.059052,19.552393,2.4275
2005-11-30,125.34,2.050585,19.552393,2.423
2005-12-01,126.85,2.164876,19.700726,2.45
2005-12-02,126.89,2.196019,19.785492,2.453
2005-12-05,126.6,2.171528,19.67248,2.4415
2005-12-06,126.76,2.238954,19.559454,2.463
2005-12-07,126.16,2.235929,19.601843,2.4415
2005-12-08,126.02,2.23986,19.559454,2.4175
2005-12-09,126.37,2.247419,19.573578,2.437
2005-12-12,126.48,2.264956,19.389914,2.4535
2005-12-13,127.19,2.267072,19.163893,2.475
2005-12-14,127.72,2.177273,19.135635,2.4705
2005-12-15,127.55,2.182413,19.015549,2.474
2005-12-16,126.52,2.15006,19.001417,2.4605
2005-12-19,125.78,2.158224,18.951973,2.4185
2005-12-20,125.75,2.180296,18.973156,2.407
2005-12-21,126.07,2.222324,18.88133,2.4485
2005-12-22,126.63,2.238046,18.782448,2.461
2005-12-23,126.71,2.217788,18.817764,2.461
2005-12-27,125.5,2.244395,18.690619,2.428
2005-12-28,125.68,2.22444,18.641165,2.403
2005-12-29,125.31,2.160342,18.55641,2.3995
2005-12-30,124.7,2.173644,18.471632,2.3575
2006-01-03,126.76,2.260118,18.959036,2.379
2006-01-04,127.25,2.266769,19.050865,2.3625
2006-01-05,127.25,2.248932,19.064983,2.3825
2006-01-06,128.48,2.306984,19.008482,2.3935
2006-01-09,128.95,2.299424,18.973156,2.354
2006-01-10,128.91,2.444858,19.072058,2.2825
2006-01-11,129.37,2.536775,19.276907,2.2465
2006-01-12,128.56,2.548567,19.170946,2.218
2006-01-13,128.71,2.587874,19.206257,2.22
2006-01-17,128.25,2.561266,19.064983,2.2
2006-01-18,127.76,2.494143,18.951973,2.216
2006-01-19,128.47,2.389829,19.086185,2.2225
2006-01-20,126.12,2.300633,18.655298,2.196
2006-01-23,126.36,2.348406,18.612919,2.1865
2006-01-24,126.66,2.299122,18.563467,2.201
2006-01-25,126.44,2.243489,18.648232,2.18
2006-01-26,127.36,2.186947,18.718864,2.234
2006-01-27,128.36,2.177877,19.6301,2.261
